time,icao,type,callsign,latitude,longitude,altitude,speed,track_angle,vertical_rate
0.0,484F2E,B738,CND1112,50.77834,3.26637,24775,424,21,-1536
40.0,484F2E,B738,CND1112,50.82944,3.29768,24075,417,21,-1472
60.0,484F2E,B738,CND1112,50.88863,3.33397,23300,417,21,-1408
80.0,484F2E,B738,CND1112,50.90943,3.34679,23025,416,21,-1408
100.0,484F2E,B738,CND1112,50.94415,3.3682,22575,415,21,-1408
120.0,484F2E,B738,CND1112,50.97491,3.38713,22175,416,21,-1408
140.0,484F2E,B738,CND1112,51.01315,3.41522,21600,420,26,-1792
180.0,484F2E,B738,CND1112,51.07809,3.46642,20500,414,26,-1728
200.0,484F2E,B738,CND1112,51.11581,3.4961,19850,406,26,-1664
220.0,484F2E,B738,CND1112,51.15034,3.5231,19300,402,26,-1408
240.0,484F2E,B738,CND1112,51.20091,3.56261,18575,394,26,-1472
260.0,484F2E,B738,CND1112,51.23492,3.58926,18075,394,26,-1408
280.0,484F2E,B738,CND1112,51.24573,3.59779,17925,396,26,-1408
300.0,484F2E,B738,CND1112,51.2806,3.62541,17425,398,26,-1408
320.0,484F2E,B738,CND1112,51.3103,3.64899,17000,398,26,-1408
340.0,484F2E,B738,CND1112,51.35005,3.68057,16425,394,26,-1408
360.0,484F2E,B738,CND1112,51.3751,3.70064,16075,393,26,-1408
380.0,484F2E,B738,CND1112,51.40806,3.72681,15600,387,26,-1408
400.0,484F2E,B738,CND1112,51.439,3.75116,15150,384,26,-1408
420.0,484F2E,B738,CND1112,51.47726,3.78145,14575,385,26,-1408
440.0,484F2E,B738,CND1112,51.50367,3.80264,14200,385,26,-1408
460.0,484F2E,B738,CND1112,51.53448,3.8274,13725,384,26,-1408
480.0,484F2E,B738,CND1112,51.56561,3.85227,13275,382,26,-1408
500.0,484F2E,B738,CND1112,51.5972,3.87728,12825,380,26,-1088
520.0,484F2E,B738,CND1112,51.6297,3.90349,12475,377,26,-1088
540.0,484F2E,B738,CND1112,51.65996,3.92769,12075,367,26,-1216
560.0,484F2E,B738,CND1112,51.68903,3.95092,11550,354,26,-1664
580.0,484F2E,B738,CND1112,51.71828,3.97453,11025,342,26,-1472
600.0,484F2E,B738,CND1112,51.74606,3.99672,10500,331,26,-1664
620.0,484F2E,B738,CND1112,51.77312,4.01877,9950,324,26,-1600
640.0,484F2E,B738,CND1112,51.79984,4.04045,9425,317,26,-1536
660.0,484F2E,B738,CND1112,51.82535,4.06138,8975,309,26,-1024
680.0,484F2E,B738,CND1112,51.85034,4.08179,8625,298,26,-960
700.0,484F2E,B738,CND1112,51.87433,4.10124,8375,283,26,-704
720.0,484F2E,B738,CND1112,51.8974,4.1198,8025,276,27,-1344
740.0,484F2E,B738,CND1112,51.91859,4.14161,7675,272,36,-1024
760.0,484F2E,B738,CND1112,51.93749,4.16806,7325,268,41,-1344
780.0,484F2E,B738,CND1112,51.95599,4.19518,7000,266,42,-64
800.0,484F2E,B738,CND1112,51.97087,4.2266,6475,275,62,-2048
820.0,484F2E,B738,CND1112,51.98246,4.26466,5975,276,64,-1088
840.0,484F2E,B738,CND1112,51.99331,4.30091,5550,273,64,-1472
860.0,484F2E,B738,CND1112,52.00439,4.33772,5125,271,63,-1024
